,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian,Total
26/06/2015,1,0,0,3,0,3,3,1,1,0,0,7,0,1,2,2,2,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,33
27/06/2015,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,4,2,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,15
28/06/2015,0,2,0,0,0,2,0,0,0,0,1,2,0,0,0,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,16
29/06/2015,1,1,1,1,0,1,1,0,0,1,0,2,0,0,1,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,18
30/06/2015,2,0,1,0,0,0,0,0,1,1,0,3,0,1,3,4,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,0,23
01/07/2015,0,0,2,1,0,0,0,1,1,1,0,4,0,0,0,5,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,21
02/07/2015,3,1,0,1,0,3,0,2,0,0,0,4,0,0,1,1,2,0,0,0,1,0,1,1,4,1,0,0,1,1,1,0,29
03/07/2015,1,1,1,0,0,2,1,1,0,0,0,2,0,0,1,2,3,0,1,0,0,0,0,1,1,2,0,2,2,1,0,0,25
04/07/2015,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,2,17
05/07/2015,0,2,0,3,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,1,20
06/07/2015,0,2,0,0,1,2,1,0,0,0,0,4,0,3,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,1,20
07/07/2015,0,2,1,1,0,1,0,0,0,1,0,4,0,0,0,4,2,0,0,1,1,1,0,1,0,1,0,1,1,0,0,2,25
08/07/2015,0,1,0,1,0,1,1,1,0,0,0,7,0,2,2,1,2,0,0,1,0,0,0,1,2,0,0,0,1,2,0,0,26
09/07/2015,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,1,2,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,15
10/07/2015,1,2,4,0,0,2,0,0,0,0,1,2,0,0,2,2,0,0,1,0,0,2,0,2,1,1,0,0,0,0,1,2,26
11/07/2015,0,1,0,4,0,5,1,1,0,1,0,2,0,1,0,2,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,24
12/07/2015,0,1,1,0,0,1,0,2,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,2,0,0,0,0,1,2,0,0,16
13/07/2015,1,1,0,0,0,1,0,0,0,1,0,2,1,0,0,11,0,1,3,0,1,1,0,1,0,2,0,1,0,1,0,2,31
14/07/2015,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,2,0,0,0,0,0,1,0,1,1,3,0,0,1,2,0,0,20
15/07/2015,0,0,0,2,0,0,0,1,0,1,0,5,0,0,2,1,2,0,1,0,0,1,0,1,0,0,0,2,0,1,1,0,21
16/07/2015,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,1,2,0,1,1,15
17/07/2015,0,0,0,1,0,0,1,1,1,1,0,3,0,1,4,4,0,1,0,0,0,2,0,2,0,2,0,0,0,1,0,5,30
18/07/2015,0,1,0,0,0,2,0,1,0,1,0,3,1,2,2,3,1,0,0,1,0,2,0,1,0,2,0,1,1,0,0,1,26
19/07/2015,0,0,1,1,0,1,0,1,0,0,0,5,0,1,1,2,2,1,0,1,1,1,0,1,0,1,0,0,2,0,0,1,24
20/07/2015,2,0,0,2,1,0,0,0,1,0,0,4,0,1,0,2,0,0,1,2,1,1,0,1,1,0,0,0,2,1,2,4,29
21/07/2015,1,0,0,1,0,0,1,2,1,0,3,2,0,1,2,4,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,23
22/07/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,0,0,0,0,1,0,2,1,0,0,0,0,0,1,1,16
23/07/2015,0,0,0,0,0,0,1,0,0,1,0,2,0,1,2,3,2,0,0,0,2,0,0,0,1,1,0,1,1,1,0,1,20
24/07/2015,0,1,0,1,0,1,0,1,0,0,0,5,0,0,1,7,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,1,24
25/07/2015,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,6,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,1,20
26/07/2015,2,2,1,0,0,3,0,0,0,1,1,3,0,0,0,5,2,0,0,0,0,0,0,2,0,3,0,1,1,0,0,1,28
27/07/2015,0,0,0,2,0,0,0,0,0,1,0,2,0,2,0,2,0,1,0,0,0,4,1,0,1,2,0,0,2,0,1,0,21
28/07/2015,0,0,0,0,0,2,0,1,1,1,0,4,1,0,1,3,2,0,0,0,0,2,0,0,1,1,1,4,1,0,0,0,26
29/07/2015,1,0,0,1,0,0,0,1,0,2,1,2,0,1,3,3,2,0,0,0,1,1,0,0,0,1,0,0,3,1,1,2,27
30/07/2015,1,1,0,0,1,0,0,0,0,0,1,4,0,1,3,4,2,1,0,0,0,2,0,0,1,1,0,0,2,0,0,0,25
31/07/2015,1,0,1,0,0,2,1,1,2,0,0,4,0,2,0,3,1,0,3,0,1,1,0,0,1,0,0,1,2,0,0,1,28
01/08/2015,2,4,2,1,0,1,1,0,0,1,0,0,0,1,1,6,2,1,1,0,1,2,0,1,0,0,0,1,2,0,0,0,31
02/08/2015,0,0,0,0,0,2,1,2,1,0,0,4,1,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,18
03/08/2015,0,0,0,1,1,3,0,0,0,1,0,5,0,0,1,4,3,0,1,0,0,2,0,0,0,3,0,1,0,0,2,2,30
04/08/2015,0,0,0,0,0,1,0,1,0,0,0,5,0,1,2,5,4,1,1,0,1,1,0,0,2,0,0,1,1,0,0,3,30
05/08/2015,1,1,1,3,1,1,0,1,0,0,1,2,0,2,0,4,1,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,25
06/08/2015,1,0,0,1,0,1,0,3,2,1,0,2,0,0,2,3,3,1,0,1,0,0,0,0,2,1,0,1,1,1,0,2,29
07/08/2015,0,1,0,1,0,0,2,0,1,0,1,6,0,1,2,6,2,0,0,0,1,1,0,0,2,1,0,0,3,0,0,0,31
08/08/2015,0,2,0,1,0,2,0,0,0,0,0,4,0,0,1,2,1,0,1,0,0,0,0,0,1,2,0,1,2,0,0,0,20
09/08/2015,1,1,0,2,0,0,0,0,0,1,0,5,0,1,0,5,1,0,1,1,0,2,0,1,0,0,0,0,4,2,0,0,28
10/08/2015,0,2,1,2,1,1,0,1,0,0,1,3,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,2,1,1,1,22
11/08/2015,0,1,0,1,0,0,0,1,0,0,0,3,0,1,0,3,1,0,0,0,1,1,0,0,1,1,0,2,1,0,0,0,18
12/08/2015,2,1,0,0,0,0,1,0,2,0,1,3,0,0,0,3,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,1,20
13/08/2015,1,1,1,1,0,2,0,0,0,1,0,5,0,3,2,7,0,0,0,0,0,2,0,0,2,1,1,0,1,0,0,1,32
14/08/2015,1,1,2,0,0,2,2,0,0,1,0,4,0,0,3,3,3,0,1,0,0,2,0,1,0,3,0,0,1,2,1,0,33
15/08/2015,0,5,1,1,0,1,0,0,0,0,0,5,1,1,3,4,1,1,1,1,1,2,0,1,0,1,0,2,3,1,0,2,39
16/08/2015,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,2,0,0,0,0,0,0,1,1,0,1,1,2,0,1,0,18
17/08/2015,0,1,0,0,0,3,1,1,0,0,0,4,0,0,2,3,0,0,1,1,1,3,0,0,4,1,0,1,3,1,1,0,32
18/08/2015,0,2,1,0,0,1,1,1,0,0,0,5,1,1,1,1,1,0,1,0,2,2,0,0,0,2,0,0,1,1,1,1,27
19/08/2015,0,0,0,2,0,0,0,0,0,1,1,8,1,2,0,4,0,0,0,0,2,1,0,0,1,0,0,1,4,0,0,2,30
20/08/2015,2,0,0,0,0,0,0,1,0,2,0,4,0,0,2,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,3,23
21/08/2015,0,0,4,1,0,1,0,1,1,0,1,3,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,19
22/08/2015,0,2,0,1,1,1,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,2,2,0,0,2,20
23/08/2015,0,2,0,2,0,2,0,0,0,2,0,3,0,0,0,1,1,0,1,1,0,0,0,1,2,0,0,1,2,2,0,0,23
24/08/2015,0,2,1,0,0,2,0,1,0,0,1,2,0,0,0,4,2,1,0,0,0,0,0,0,1,1,0,0,4,0,0,0,22
25/08/2015,1,2,0,0,1,1,1,0,0,0,1,8,0,0,0,3,3,1,2,0,0,0,0,1,1,0,0,1,2,0,0,1,30
26/08/2015,3,3,1,0,1,0,1,0,0,0,1,1,0,0,0,9,0,0,0,2,2,4,0,0,1,0,0,1,1,0,1,3,35
27/08/2015,0,2,0,1,1,2,0,0,1,0,0,0,1,2,1,5,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,2,24
28/08/2015,0,0,0,0,3,1,0,1,0,1,0,5,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,4,1,1,2,26
29/08/2015,0,0,1,0,0,0,0,0,1,0,1,2,1,0,2,7,3,0,2,0,0,3,0,1,1,1,0,1,1,0,0,0,28
30/08/2015,0,0,0,2,1,1,0,0,1,0,0,3,0,0,1,1,4,0,2,0,0,1,0,1,0,0,0,2,0,0,1,1,22
31/08/2015,2,0,1,2,0,0,0,1,0,1,0,8,0,0,0,7,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,28
01/09/2015,2,1,0,1,0,0,0,0,0,0,0,3,0,0,5,2,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,20
02/09/2015,0,0,0,0,0,0,2,1,0,0,0,4,1,1,2,2,3,0,0,0,0,1,0,1,1,2,0,1,1,0,0,1,24
03/09/2015,0,4,1,1,0,1,0,0,1,1,1,1,0,0,1,3,1,0,1,1,2,2,1,0,0,1,0,1,0,1,0,1,27
04/09/2015,4,1,1,0,0,1,0,1,0,0,1,4,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,24
05/09/2015,0,0,2,0,1,0,0,0,0,1,0,3,0,0,2,4,2,1,0,0,1,1,0,1,0,0,0,1,3,0,0,1,24
06/09/2015,0,0,0,2,0,2,1,0,0,0,0,1,0,0,2,3,2,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,18
07/09/2015,3,0,2,0,0,2,0,0,0,1,0,3,0,0,6,7,0,0,0,0,1,3,0,2,1,0,1,0,0,0,1,1,34
08/09/2015,2,0,0,0,0,1,2,1,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,1,18
09/09/2015,1,0,0,1,0,2,1,0,0,0,0,5,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,2,20
10/09/2015,1,0,0,0,0,4,0,1,0,1,0,6,0,1,2,6,2,1,0,0,1,1,0,0,1,0,0,2,1,0,1,1,33
11/09/2015,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,5,2,0,2,1,0,2,0,1,0,1,0,0,2,2,0,2,27
12/09/2015,1,1,0,0,0,1,0,0,1,0,0,3,1,1,0,4,1,1,1,1,0,1,0,1,1,0,0,0,2,1,1,2,26
13/09/2015,1,1,0,1,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,1,0,0,1,0,1,1,3,4,1,5,31
14/09/2015,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,14
15/09/2015,0,3,1,0,0,0,0,0,0,2,0,4,0,1,0,2,1,0,1,0,0,1,0,0,2,1,0,1,1,0,1,2,24
16/09/2015,1,1,0,0,0,1,0,0,1,0,0,0,0,2,3,2,1,1,0,0,0,1,0,0,1,1,0,1,2,0,0,1,20
17/09/2015,0,4,0,0,0,0,2,1,0,0,0,3,0,3,3,2,2,0,0,1,1,2,1,1,3,0,0,2,2,0,0,1,34
18/09/2015,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,2,0,2,2,2,0,1,0,0,0,0,18
19/09/2015,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,4,3,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,20
20/09/2015,0,3,0,0,0,1,0,1,0,0,0,2,0,3,0,2,1,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,18
21/09/2015,0,2,1,0,0,2,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,1,0,5,0,1,0,1,0,0,0,0,18
22/09/2015,1,0,2,2,2,2,0,0,0,0,0,2,0,0,3,2,1,1,2,0,0,2,0,0,3,1,0,0,0,0,0,1,27
23/09/2015,1,1,1,2,1,0,0,0,0,1,2,3,0,0,1,8,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,29
24/09/2015,0,0,1,1,1,1,0,1,1,0,0,2,0,1,1,6,2,0,1,0,1,3,0,2,1,2,0,0,0,2,0,2,32
25/09/2015,0,2,0,0,1,0,1,0,0,1,0,5,0,1,5,5,1,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,30
26/09/2015,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10
27/09/2015,1,2,0,0,1,2,2,0,0,0,0,3,0,2,3,3,3,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,28
28/09/2015,1,2,2,0,0,0,0,1,0,1,0,2,0,3,1,3,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,1,24
29/09/2015,0,3,0,1,0,1,0,0,1,0,2,3,0,0,2,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,4,24
30/09/2015,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,3,0,1,0,0,1,2,0,0,2,0,0,1,2,0,0,1,19
01/10/2015,1,0,0,0,0,0,0,3,1,1,0,7,0,1,2,3,1,1,1,0,2,0,0,2,1,1,0,1,1,2,1,2,35
02/10/2015,2,0,0,1,0,0,0,0,1,0,0,6,0,3,1,2,3,0,0,0,0,3,0,0,0,2,0,1,0,1,0,1,27
03/10/2015,0,1,0,0,0,1,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,13
04/10/2015,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,2,1,1,1,17
05/10/2015,0,1,0,1,0,0,0,2,0,1,0,3,0,1,1,3,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,3,23
06/10/2015,1,2,0,0,0,1,0,1,0,3,0,2,1,3,3,3,0,2,0,0,0,3,0,1,1,1,0,1,7,0,0,1,37
07/10/2015,1,1,0,1,1,0,0,0,1,1,1,4,0,3,1,1,1,0,0,0,0,2,0,1,1,1,0,0,1,0,1,1,25
08/10/2015,2,3,0,0,0,1,0,1,0,0,0,6,0,0,2,7,2,1,0,0,1,2,0,1,2,0,0,0,3,1,0,1,36
09/10/2015,0,0,0,0,0,0,0,1,0,1,2,1,0,2,1,2,4,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,21
10/10/2015,2,1,0,0,0,0,0,1,0,0,1,2,0,0,0,3,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,16
11/10/2015,0,0,0,0,1,0,0,0,0,0,0,3,0,2,1,2,1,0,1,0,1,2,0,1,0,1,0,0,1,1,0,0,18
12/10/2015,0,2,1,0,0,0,0,1,0,0,0,4,0,1,0,3,0,0,0,0,1,2,0,0,0,1,0,0,2,2,1,0,21
13/10/2015,1,2,0,0,0,0,0,0,1,2,1,2,0,0,0,2,2,0,1,0,1,2,0,0,0,1,0,0,1,1,0,2,22
14/10/2015,1,2,0,0,0,0,0,0,1,0,0,5,0,0,0,5,0,0,0,0,1,0,0,0,2,2,0,0,1,1,0,0,21
15/10/2015,0,2,0,0,1,0,0,0,0,0,1,5,0,0,0,5,0,0,0,0,2,1,0,0,0,2,0,0,2,0,0,2,23
16/10/2015,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,2,3,3,0,0,0,5,0,0,1,2,0,0,2,0,1,2,26
17/10/2015,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,2,19
18/10/2015,0,1,0,0,0,0,1,0,0,0,0,2,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,14
19/10/2015,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,8,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,1,21
20/10/2015,0,2,0,0,1,1,0,0,1,0,0,2,0,1,1,2,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,18
21/10/2015,0,1,0,0,0,1,1,2,0,0,1,3,0,0,2,6,1,0,1,0,1,1,0,0,3,0,0,0,2,1,0,1,28
22/10/2015,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,1,1,0,1,2,0,0,0,14
23/10/2015,0,0,0,2,1,1,1,1,0,0,1,3,1,2,0,7,2,2,0,0,2,2,0,1,1,1,0,0,2,1,0,1,35
24/10/2015,1,1,2,0,0,0,0,1,0,0,1,4,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,1,21
25/10/2015,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2,3,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,2,17
26/10/2015,0,2,0,1,0,0,1,1,0,0,0,3,1,0,1,5,2,1,1,0,0,2,0,1,0,2,0,0,1,0,0,1,26
27/10/2015,0,1,1,1,0,0,0,2,0,1,0,2,0,0,0,3,2,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,19
28/10/2015,1,0,1,2,1,1,0,1,0,0,0,9,0,1,0,5,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,28
29/10/2015,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,8,2,0,1,0,0,2,0,0,0,0,0,0,2,1,0,4,27
30/10/2015,1,0,0,0,0,0,2,0,1,1,1,8,0,0,1,3,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,24
31/10/2015,0,3,1,0,1,0,0,0,0,0,0,3,0,2,2,4,0,1,0,0,1,0,0,2,0,1,0,0,2,1,0,1,25
01/11/2015,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,3,2,0,1,0,0,3,0,1,2,0,0,0,2,0,0,2,23
02/11/2015,2,1,0,0,0,1,0,1,0,0,0,4,0,0,0,1,3,0,2,0,0,0,0,0,1,0,0,1,1,1,1,2,22
03/11/2015,2,0,1,1,0,0,0,0,0,0,1,3,0,2,1,4,2,0,1,1,1,3,0,1,0,0,0,1,0,0,0,2,27
04/11/2015,1,3,0,0,0,4,0,0,1,1,1,9,0,0,0,3,1,2,0,0,0,0,0,1,0,0,0,1,2,0,0,3,33
05/11/2015,2,1,0,0,0,0,1,0,0,0,0,8,0,2,1,4,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,25
06/11/2015,0,1,0,2,0,0,0,0,0,0,0,1,0,1,2,9,3,0,1,0,1,1,0,3,2,1,0,0,5,1,0,0,34
07/11/2015,1,0,0,0,1,1,0,0,1,1,0,7,0,1,3,4,2,1,1,0,0,4,0,0,0,0,0,3,1,1,0,2,35
08/11/2015,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,5,0,0,0,0,1,1,1,0,2,1,0,2,0,1,0,1,21
09/11/2015,0,1,1,0,0,1,0,0,0,0,0,1,0,2,1,6,2,0,0,0,1,1,0,0,2,2,0,1,1,0,0,3,26
10/11/2015,1,0,0,0,1,0,0,1,0,0,0,3,0,1,1,2,1,0,0,1,2,3,0,0,0,0,0,3,0,0,0,2,22
11/11/2015,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,15
12/11/2015,1,2,0,0,0,1,0,2,0,0,0,4,0,1,2,6,1,1,1,0,1,0,0,1,1,2,0,1,0,1,0,0,29
13/11/2015,2,1,0,2,0,0,0,1,1,2,1,7,0,0,1,3,1,0,0,0,0,4,0,0,1,0,0,0,4,0,0,1,32
14/11/2015,0,0,1,0,0,0,1,1,0,2,0,7,0,0,0,5,1,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,24
15/11/2015,0,0,1,0,0,1,0,1,0,0,1,5,0,0,0,4,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,2,21
16/11/2015,1,0,0,2,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,0,2,0,1,0,1,0,0,3,0,0,2,19
17/11/2015,0,1,0,0,0,1,2,0,0,0,0,6,0,1,1,9,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,28
18/11/2015,1,0,0,1,0,0,2,0,0,1,0,3,0,0,3,4,1,1,0,0,1,5,0,0,3,1,1,0,0,1,0,0,29
19/11/2015,1,0,0,0,0,0,1,1,0,0,2,5,0,1,2,4,0,0,0,0,0,2,0,2,0,1,1,1,2,1,1,2,30
20/11/2015,2,0,0,2,0,1,1,0,1,1,1,2,0,0,3,9,1,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,29
21/11/2015,0,1,1,1,1,1,0,2,1,2,0,1,1,0,2,3,2,0,0,0,1,0,0,0,1,1,0,1,2,0,1,2,28
22/11/2015,0,2,0,0,0,1,0,0,0,2,0,5,0,0,1,3,1,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,20
23/11/2015,1,0,0,0,1,0,0,1,1,0,1,7,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,21
24/11/2015,0,0,1,1,0,1,0,1,0,2,0,3,0,0,1,3,1,1,1,2,0,4,0,0,2,0,1,1,2,1,2,1,32
25/11/2015,1,0,1,0,0,0,2,1,1,0,0,4,0,0,0,4,0,0,1,0,2,1,0,0,0,0,0,0,2,2,1,3,26
26/11/2015,0,2,1,0,0,2,0,0,0,0,0,8,0,0,1,2,0,0,0,0,1,2,0,2,1,0,0,0,0,1,1,2,26
27/11/2015,1,0,1,3,0,0,1,1,0,1,0,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,3,0,1,2,21
28/11/2015,3,1,0,1,0,1,0,2,1,0,0,2,1,3,2,3,2,0,1,0,0,2,1,1,0,1,0,0,2,1,1,1,33
29/11/2015,0,0,0,1,0,1,1,0,0,0,0,4,0,0,0,4,1,0,1,0,1,1,0,2,1,3,0,1,1,0,0,0,23
30/11/2015,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,5,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,16
01/12/2015,0,1,0,0,0,2,0,0,0,0,0,7,0,0,3,6,2,0,0,0,0,3,0,0,2,2,0,0,1,0,0,1,30
02/12/2015,1,0,0,0,0,3,0,2,0,0,0,2,0,2,4,4,1,0,2,0,1,3,0,0,0,0,0,2,3,0,1,0,31
03/12/2015,1,0,0,0,0,1,0,1,0,1,1,4,0,1,1,13,0,0,2,0,1,1,0,1,0,1,0,1,2,0,1,2,36
04/12/2015,2,1,0,1,0,0,0,1,0,1,0,1,0,3,1,2,1,1,1,0,0,2,0,0,1,1,0,0,1,1,0,1,23
05/12/2015,0,2,1,1,0,0,0,0,0,0,0,2,0,2,4,7,0,2,1,0,1,0,0,0,2,0,0,1,1,0,0,3,30
06/12/2015,2,1,0,0,1,0,0,0,1,1,1,1,0,0,3,5,2,0,1,0,2,2,0,0,1,0,0,0,1,0,0,1,26
07/12/2015,3,0,0,1,0,2,0,0,0,0,0,2,0,0,1,4,0,0,2,0,0,1,0,0,2,2,0,0,2,0,0,1,23
08/12/2015,0,0,1,0,0,0,0,1,1,1,0,3,0,0,1,2,2,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,17
09/12/2015,2,0,0,0,1,1,0,1,0,0,0,5,0,1,1,4,0,1,0,0,1,2,0,1,1,0,0,1,0,0,1,3,27
10/12/2015,1,1,0,1,0,0,1,0,0,2,0,3,0,0,2,6,2,0,0,0,0,0,0,1,0,1,1,1,1,2,1,3,30
11/12/2015,1,1,0,0,0,2,1,1,0,1,0,5,0,2,0,3,1,0,0,1,0,5,0,0,0,0,0,0,1,1,1,2,29
12/12/2015,0,2,0,0,1,1,0,1,0,1,0,0,0,1,0,5,2,0,2,0,0,2,0,1,1,3,0,0,0,0,1,0,24
13/12/2015,0,1,0,0,0,4,0,1,0,0,1,4,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,5,26
14/12/2015,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,8,0,0,0,1,1,3,0,2,0,0,0,0,0,1,0,0,19
15/12/2015,0,0,1,0,0,2,1,0,0,1,0,2,0,2,1,3,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,2,21
16/12/2015,0,0,0,0,0,0,0,0,0,1,0,5,0,1,2,1,2,1,2,0,0,1,0,0,1,1,0,1,0,3,0,2,24
17/12/2015,1,0,0,0,0,1,0,0,0,1,0,1,0,2,1,1,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,14
18/12/2015,1,0,0,2,0,0,0,2,0,0,3,9,0,2,3,4,0,1,0,2,2,5,0,1,1,0,0,1,2,0,0,0,41
19/12/2015,0,2,1,1,0,0,0,2,0,0,0,2,0,2,1,6,1,0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,24
20/12/2015,1,1,0,0,0,0,0,2,0,1,0,5,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,18
21/12/2015,0,1,0,1,0,0,0,0,0,1,0,4,0,1,2,5,1,0,1,1,0,2,0,0,1,1,0,1,4,1,1,4,33
22/12/2015,0,1,0,0,0,0,0,1,0,1,0,3,0,1,4,4,1,0,1,0,0,0,0,0,1,2,0,0,3,1,0,2,26
23/12/2015,2,1,0,0,0,1,0,2,0,0,0,2,0,0,0,4,1,0,0,0,0,2,0,0,2,1,0,1,1,2,1,3,26
24/12/2015,2,1,0,0,0,0,0,1,0,0,0,4,0,0,2,1,1,0,2,0,1,3,0,1,1,0,0,2,1,1,0,2,26
25/12/2015,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,12
26/12/2015,3,0,0,2,0,3,1,0,0,0,0,3,0,2,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,23
27/12/2015,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,14
28/12/2015,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,12
29/12/2015,0,0,0,1,1,0,0,0,0,1,0,3,0,0,1,2,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,16
30/12/2015,0,0,0,2,1,0,0,0,0,1,0,4,0,1,1,1,1,0,1,0,1,1,0,0,2,1,0,0,2,0,0,1,21
